candidate_id,scope,organism,backend,auroc,average_precision,n_pos,n_neg,sc_auroc,sc_average_precision,delta_auroc_vs_sc,delta_average_precision_vs_sc
interface_sc,cell,arabidopsis,af2,0.7943196004993758,0.8372158177785815,180,178,0.7943196004993758,0.8372158177785815,0.0,0.0
interface_sc,cell,arabidopsis,af3,0.6186202686202686,0.6035552305045854,182,180,0.6186202686202686,0.6035552305045854,0.0,0.0
interface_sc,cell,ecoli,af2,0.8118846287501448,0.8107951828946801,97,89,0.8118846287501448,0.8107951828946801,0.0,0.0
interface_sc,cell,ecoli,af3,0.6109991039426523,0.5905257792017032,96,93,0.6109991039426523,0.5905257792017032,0.0,0.0
interface_sc,cell,human,af2,0.7354083967683183,0.7349759921353464,1140,1127,0.7354083967683183,0.7349759921353464,0.0,0.0
interface_sc,cell,human,af3,0.619751387110542,0.6499858786103933,1100,852,0.619751387110542,0.6499858786103933,0.0,0.0
interface_sc,cell,yeast,af2,0.7882747633199546,0.8016604355663515,514,508,0.7882747633199546,0.8016604355663515,0.0,0.0
interface_sc,cell,yeast,af3,0.6513461462877805,0.6166022852786833,514,495,0.6513461462877805,0.6166022852786833,0.0,0.0
interface_sc,global,,,0.6810568389450089,0.6637043072186571,3823,3522,0.6810568389450089,0.6637043072186571,0.0,0.0
interface_sc,af2,,af2,0.7575827129555359,0.7652382745414433,1931,1902,0.7575827129555359,0.7652382745414433,0.0,0.0
interface_sc,af3,,af3,0.6275177485448803,0.6286956311092338,1892,1620,0.6275177485448803,0.6286956311092338,0.0,0.0
atom_gaussian__g32__o10__s1.5__f12,cell,arabidopsis,af2,0.567665418227216,0.5733576800709458,180,178,0.7943196004993758,0.8372158177785815,-0.22665418227215983,-0.26385813770763566
atom_gaussian__g32__o10__s1.5__f12,cell,arabidopsis,af3,0.5878815628815629,0.5871822426796713,182,180,0.6186202686202686,0.6035552305045854,-0.03073870573870574,-0.01637298782491403
atom_gaussian__g32__o10__s1.5__f12,cell,ecoli,af2,0.5342291208154755,0.5757943040004587,97,89,0.8118846287501448,0.8107951828946801,-0.2776555079346693,-0.2350008788942214
atom_gaussian__g32__o10__s1.5__f12,cell,ecoli,af3,0.5388664874551972,0.6041539954716294,96,93,0.6109991039426523,0.5905257792017032,-0.07213261648745517,0.013628216269926163
atom_gaussian__g32__o10__s1.5__f12,cell,human,af2,0.5575802861190242,0.5928810676863333,1140,1127,0.7354083967683183,0.7349759921353464,-0.17782811064929405,-0.14209492444901306
atom_gaussian__g32__o10__s1.5__f12,cell,human,af3,0.5748666239863423,0.652729153945653,1100,852,0.619751387110542,0.6499858786103933,-0.044884763124199756,0.002743275335259754
atom_gaussian__g32__o10__s1.5__f12,cell,yeast,af2,0.5893754404240326,0.6062011892065338,514,508,0.7882747633199546,0.8016604355663515,-0.19889932289592205,-0.1954592463598177
atom_gaussian__g32__o10__s1.5__f12,cell,yeast,af3,0.5658216405298118,0.576194714788475,514,495,0.6513461462877805,0.6166022852786833,-0.08552450575796877,-0.04040757049020838
atom_gaussian__g32__o10__s1.5__f12,global,,,0.5671121754323892,0.6047672113154774,3823,3522,0.6810568389450089,0.6637043072186571,-0.11394466351261967,-0.05893709590317975
atom_gaussian__g32__o10__s1.5__f12,af2,,af2,0.565861604971953,0.5923751587697036,1931,1902,0.7575827129555359,0.7652382745414433,-0.19172110798358288,-0.17286311577173974
atom_gaussian__g32__o10__s1.5__f12,af3,,af3,0.5701181713778612,0.62045838208262,1892,1620,0.6275177485448803,0.6286956311092338,-0.057399577167019045,-0.008237249026613713
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,arabidopsis,af2,0.8241885143570536,0.8177785780267025,180,178,0.7943196004993758,0.8372158177785815,0.02986891385767787,-0.019437239751878943
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,arabidopsis,af3,0.6672771672771672,0.6420001240257512,182,180,0.6186202686202686,0.6035552305045854,0.048656898656898595,0.03844489352116587
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,ecoli,af2,0.8180238619251708,0.8102780770548919,97,89,0.8118846287501448,0.8107951828946801,0.006139233175026071,-0.0005171058397882566
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,ecoli,af3,0.6648745519713262,0.6485420674395559,96,93,0.6109991039426523,0.5905257792017032,0.053875448028673834,0.05801628823785265
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,human,af2,0.7584240103364001,0.7477289486837293,1140,1127,0.7354083967683183,0.7349759921353464,0.023015613568081794,0.012752956548382932
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,human,af3,0.6518875373452838,0.6863932423029864,1100,852,0.619751387110542,0.6499858786103933,0.03213615023474181,0.03640736369259312
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,yeast,af2,0.8201116762155704,0.8105912923536173,514,508,0.7882747633199546,0.8016604355663515,0.03183691289561574,0.008930856787265795
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,cell,yeast,af3,0.6856345556734662,0.6662150802423602,514,495,0.6513461462877805,0.6166022852786833,0.03428840938568567,0.049612794963676876
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,global,,,0.7200065118875368,0.7081436320273661,3823,3522,0.6810568389450089,0.6637043072186571,0.038949672942527935,0.044439324808708935
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,af2,,af2,0.7833004153277561,0.7716761805098332,1931,1902,0.7575827129555359,0.7652382745414433,0.025717702372220153,0.00643790596838989
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.4__rf0.01__f12,af3,,af3,0.6648663638973716,0.674086830506105,1892,1620,0.6275177485448803,0.6286956311092338,0.03734861535249134,0.045391199396871196
