candidate_id,scope,organism,backend,auroc,average_precision,n_pos,n_neg,sc_auroc,sc_average_precision,delta_auroc_vs_sc,delta_average_precision_vs_sc
interface_sc,cell,arabidopsis,af2,0.7943196004993758,0.8372158177785815,180,178,0.7943196004993758,0.8372158177785815,0.0,0.0
interface_sc,cell,arabidopsis,af3,0.6186202686202686,0.6035552305045854,182,180,0.6186202686202686,0.6035552305045854,0.0,0.0
interface_sc,cell,ecoli,af2,0.8118846287501448,0.8107951828946801,97,89,0.8118846287501448,0.8107951828946801,0.0,0.0
interface_sc,cell,ecoli,af3,0.6109991039426523,0.5905257792017032,96,93,0.6109991039426523,0.5905257792017032,0.0,0.0
interface_sc,cell,human,af2,0.7354083967683183,0.7349759921353464,1140,1127,0.7354083967683183,0.7349759921353464,0.0,0.0
interface_sc,cell,human,af3,0.619751387110542,0.6499858786103933,1100,852,0.619751387110542,0.6499858786103933,0.0,0.0
interface_sc,cell,yeast,af2,0.7882747633199546,0.8016604355663515,514,508,0.7882747633199546,0.8016604355663515,0.0,0.0
interface_sc,cell,yeast,af3,0.6513461462877805,0.6166022852786833,514,495,0.6513461462877805,0.6166022852786833,0.0,0.0
interface_sc,global,,,0.6810568389450089,0.6637043072186571,3823,3522,0.6810568389450089,0.6637043072186571,0.0,0.0
interface_sc,af2,,af2,0.7575827129555359,0.7652382745414433,1931,1902,0.7575827129555359,0.7652382745414433,0.0,0.0
interface_sc,af3,,af3,0.6275177485448803,0.6286956311092338,1892,1620,0.6275177485448803,0.6286956311092338,0.0,0.0
atom_gaussian__g32__o10__s1.5__f12,cell,arabidopsis,af2,0.567665418227216,0.5733576800709458,180,178,0.7943196004993758,0.8372158177785815,-0.22665418227215983,-0.26385813770763566
atom_gaussian__g32__o10__s1.5__f12,cell,arabidopsis,af3,0.5878815628815629,0.5871822426796713,182,180,0.6186202686202686,0.6035552305045854,-0.03073870573870574,-0.01637298782491403
atom_gaussian__g32__o10__s1.5__f12,cell,ecoli,af2,0.5342291208154755,0.5757943040004587,97,89,0.8118846287501448,0.8107951828946801,-0.2776555079346693,-0.2350008788942214
atom_gaussian__g32__o10__s1.5__f12,cell,ecoli,af3,0.5388664874551972,0.6041539954716294,96,93,0.6109991039426523,0.5905257792017032,-0.07213261648745517,0.013628216269926163
atom_gaussian__g32__o10__s1.5__f12,cell,human,af2,0.5575802861190242,0.5928810676863333,1140,1127,0.7354083967683183,0.7349759921353464,-0.17782811064929405,-0.14209492444901306
atom_gaussian__g32__o10__s1.5__f12,cell,human,af3,0.5748666239863423,0.652729153945653,1100,852,0.619751387110542,0.6499858786103933,-0.044884763124199756,0.002743275335259754
atom_gaussian__g32__o10__s1.5__f12,cell,yeast,af2,0.5893754404240326,0.6062011892065338,514,508,0.7882747633199546,0.8016604355663515,-0.19889932289592205,-0.1954592463598177
atom_gaussian__g32__o10__s1.5__f12,cell,yeast,af3,0.5658216405298118,0.576194714788475,514,495,0.6513461462877805,0.6166022852786833,-0.08552450575796877,-0.04040757049020838
atom_gaussian__g32__o10__s1.5__f12,global,,,0.5671121754323892,0.6047672113154774,3823,3522,0.6810568389450089,0.6637043072186571,-0.11394466351261967,-0.05893709590317975
atom_gaussian__g32__o10__s1.5__f12,af2,,af2,0.565861604971953,0.5923751587697036,1931,1902,0.7575827129555359,0.7652382745414433,-0.19172110798358288,-0.17286311577173974
atom_gaussian__g32__o10__s1.5__f12,af3,,af3,0.5701181713778612,0.62045838208262,1892,1620,0.6275177485448803,0.6286956311092338,-0.057399577167019045,-0.008237249026613713
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,arabidopsis,af2,0.4346441947565543,0.4716465451877084,180,178,0.7943196004993758,0.8372158177785815,-0.3596754057428215,-0.3655692725908731
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,arabidopsis,af3,0.656013431013431,0.6222573617503868,182,180,0.6186202686202686,0.6035552305045854,0.03739316239316237,0.018702131245801445
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,ecoli,af2,0.38966755473184295,0.43941488185085376,97,89,0.8118846287501448,0.8107951828946801,-0.42221707401830183,-0.37138030104382636
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,ecoli,af3,0.7185259856630825,0.6532701103093185,96,93,0.6109991039426523,0.5905257792017032,0.10752688172043012,0.06274433110761524
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,human,af2,0.469762138264917,0.5099622317697697,1140,1127,0.7354083967683183,0.7349759921353464,-0.2656462585034013,-0.22501376036557663
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,human,af3,0.6277544814340589,0.662036510333608,1100,852,0.619751387110542,0.6499858786103933,0.008003094323516868,0.012050631723214744
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,yeast,af2,0.47326817610833666,0.5231236977015804,514,508,0.7882747633199546,0.8016604355663515,-0.31500658721161795,-0.27853673786477107
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,yeast,af3,0.6557442125535511,0.6341919497213391,514,495,0.6513461462877805,0.6166022852786833,0.0043980662657705505,0.01758966444265575
atom_gaussian__g32__o0__s1.5__moverlap__f12,global,,,0.5347790718866932,0.5518869439047217,3823,3522,0.6810568389450089,0.6637043072186571,-0.14627776705831574,-0.11181736331393544
atom_gaussian__g32__o0__s1.5__moverlap__f12,af2,,af2,0.4623980535629589,0.5049558515461038,1931,1902,0.7575827129555359,0.7652382745414433,-0.29518465939257704,-0.26028242299533955
atom_gaussian__g32__o0__s1.5__moverlap__f12,af3,,af3,0.6443911009317986,0.6489019021672842,1892,1620,0.6275177485448803,0.6286956311092338,0.01687335238691834,0.020206271058050396
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,arabidopsis,af2,0.4304931335830212,0.469876783798733,180,178,0.7943196004993758,0.8372158177785815,-0.36382646691635456,-0.36733903397984846
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,arabidopsis,af3,0.6522893772893773,0.6176810287915485,182,180,0.6186202686202686,0.6035552305045854,0.03366910866910866,0.014125798286963143
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,ecoli,af2,0.38294914861577667,0.4369891870093435,97,89,0.8118846287501448,0.8107951828946801,-0.4289354801343681,-0.3738059958853366
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,ecoli,af3,0.7120295698924731,0.6478917892830806,96,93,0.6109991039426523,0.5905257792017032,0.10103046594982079,0.05736601008137732
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,human,af2,0.467560204859976,0.5084257413285401,1140,1127,0.7354083967683183,0.7349759921353464,-0.26784819190834225,-0.22655025080680624
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,human,af3,0.6237825437473324,0.6596483136567134,1100,852,0.619751387110542,0.6499858786103933,0.004031156636790434,0.00966243504632014
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,yeast,af2,0.4692967002665523,0.5206209621840269,514,508,0.7882747633199546,0.8016604355663515,-0.3189780630534023,-0.2810394733823246
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,yeast,af3,0.6523562472978816,0.6312217690899822,514,495,0.6513461462877805,0.6166022852786833,0.0010101010101010166,0.01461948381129885
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,global,,,0.5314693946484583,0.5500343498811125,3823,3522,0.6810568389450089,0.6637043072186571,-0.14958744429655058,-0.11366995733754459
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af2,,af2,0.4594920661888791,0.5032150015217715,1931,1902,0.7575827129555359,0.7652382745414433,-0.2980906467666568,-0.2620232730196719
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af3,,af3,0.6404771226476653,0.6461448254382373,1892,1620,0.6275177485448803,0.6286956311092338,0.012959374102785026,0.017449194329003492
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,arabidopsis,af2,0.4206928838951311,0.4635360995305263,180,178,0.7943196004993758,0.8372158177785815,-0.3736267166042447,-0.3736797182480551
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,arabidopsis,af3,0.6346459096459096,0.6060126947972171,182,180,0.6186202686202686,0.6035552305045854,0.01602564102564097,0.002457464292631717
